Modelo,Belebele_eu (RC),EusExams (QA),EusProficiency (QA),EusReading (RC),EusTrivia (QA),media acc (lm harness),"GPU inference(GB) (Cargar modelo con la misma config de bnb, si no no funciona)",Disk size (GB),VRAM (durante ft) gb,Carbon emitted (kg CO2 eq.),Token/s,Eficiencia(tok/kWh),Tiempo entrenamiento LoRa (min)
Base model (BF16),"0,7533","0,5589","0,5351","0,5795","0,6058","0,6065","14,96","16,1",,,"41,5",343903,
QLoRA_int8,"0,6267","0,4063","0,385","0,4972","0,4939","0,4818","9,39","0,105","15,73","2,38","24,82",209175,"3277,5"
QLoRA_fp4,"0,6244","0,4175","0,3691","0,483","0,4828","0,4754","6,99","0,105",13,"0,88","24,16",180856,"1211,2"
QLoRA_nf4DQ,"0,7233","0,5172","0,4662","0,5426","0,5499","0,5598","6,9","0,675","12,41","0,29","19,66",132465,"398,9"
LoRA,"0,6811","0,4482","0,3908","0,4744","0,5131","0,5015",,"0,105","22,25","0,35","21,96",137696,"482,7"
LoRA-Q_int8,"0,68","0,4363","0,391","0,4631","0,4002","0,4741","9,39","8,6","22,25","0,35","8,5",90000,"482,7"
LoRA-Q_fp4,"0,6022","0,3895","0,3246","0,3892","0,449","0,4309","6,99","5,5","22,25","0,35",23,200000,"482,7"
LoRA-Q_nf4DQ,"0,6733","0,4247","0,3745","0,4403","0,4805","0,4787","6,99","5,4","22,25","0,35","21,93",174983,"482,7"
